suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
CARSS PARK,2221,-33.986556,151.11904099999998,2,1259,mid-age,49,3.0,Gym / Fitness Center,Café,Fish & Chips Shop,Park,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
CARTWRIGHT,2168,-33.926577,150.890356,13,2386,mid-age,49,1.0,Playground,Cricket Ground,Paper / Office Supplies Store,Bus Station,Fast Food Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
CASTLE COVE,2069,-33.784165,151.199948,6,2552,mid-age,49,3.0,Café,Thai Restaurant,Gym,Sandwich Place,Pet Store,Clothing Store,Bakery,Farmers Market,Electronics Store,Event Service
CASTLE HILL,2154,-33.732307,151.005616,4,39610,mid-age,49,0.0,Fast Food Restaurant,Café,Department Store,Food Court,Movie Theater,Shopping Mall,Music Store,Dumpling Restaurant,Juice Bar,BBQ Joint
CASTLECRAG,2068,-33.802403000000005,151.21264299999999,15,2944,mid-age,49,3.0,Café,Eastern European Restaurant,Bakery,Grocery Store,Supermarket,Park,Thai Restaurant,Deli / Bodega,Fishing Store,Farm
CASTLEREAGH,2749,-33.668796,150.67655,10,1164,mid-age,49,,,,,,,,,,,
CASULA,2170,-33.94735,150.907753,22,15667,adult,29,1.0,Italian Restaurant,Train Station,Dessert Shop,Park,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
CATHERINE FIELD,2557,-33.993545000000005,150.774858,5,1669,mid-age,49,,,,,,,,,,,
CATTAI,2756,-33.555841,150.909515,12,801,mid-age,49,1.0,Dry Cleaner,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CAWDOR,2570,-34.108691,150.671985,16,432,mid-age,49,,,,,,,,,,,
CECIL HILLS,2171,-33.883696,150.853171,12,7021,mid-age,49,,,,,,,,,,,
CECIL PARK,2178,-33.87478,150.838225,2,769,mid-age,49,,,,,,,,,,,
CHATSWOOD,2067,-33.795617,151.185329,2,24900,adult,29,0.0,Café,Chinese Restaurant,Ice Cream Shop,Food Court,Coffee Shop,Japanese Restaurant,Shopping Mall,Thai Restaurant,Gym,Sushi Restaurant
CHATSWOOD WEST,2067,-33.796332,151.16714199999998,2,1492,mid-age,49,2.0,Park,Sports Club,Bus Stop,Arcade,Bus Station,Yoga Studio,Field,Event Space,Falafel Restaurant,Farm
CHELTENHAM,2119,-33.76169,151.079364,9,2249,mid-age,49,2.0,Herbs & Spices Store,Park,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CHERRYBROOK,2126,-33.722019,151.041806,6,18764,mid-age,49,3.0,Café,Supermarket,Restaurant,Sandwich Place,Grocery Store,Shopping Mall,Liquor Store,Noodle House,Farm,Electronics Store
CHESTER HILL,2162,-33.883157000000004,151.00118500000002,5,12823,adult,29,0.0,Lebanese Restaurant,Fast Food Restaurant,Coffee Shop,Sushi Restaurant,Train Station,Dessert Shop,Thai Restaurant,Supermarket,Electronics Store,Event Service
CHIFLEY,2036,-33.976546,151.240248,12,3225,mid-age,49,1.0,Playground,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CHIPPENDALE,2008,-33.886844,151.20171499999998,4,8615,adult,29,3.0,Café,Coffee Shop,Bar,Bakery,Hotel,Ice Cream Shop,Wine Bar,Juice Bar,Cocktail Bar,Bubble Tea Shop
CHIPPING NORTON,2170,-33.916829,150.96166200000002,22,8988,adult,29,0.0,Supermarket,Italian Restaurant,Coffee Shop,Shopping Mall,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
