suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
RUSE,2560,-34.069283,150.844069,19,5585,adult,29,0.0,Convenience Store,Pub,Grocery Store,Liquor Store,Bakery,Flea Market,Fishing Store,Electronics Store,Food & Drink Shop,Event Service
RUSHCUTTERS BAY,2011,-33.87624,151.228614,30,2545,adult,29,3.0,Café,Italian Restaurant,Japanese Restaurant,Mexican Restaurant,Deli / Bodega,Coffee Shop,Park,Dumpling Restaurant,Bus Station,Sushi Restaurant
RUSSELL LEA,2046,-33.86072,151.140711,14,4999,mid-age,49,1.0,Italian Restaurant,Park,Thai Restaurant,Pizza Place,Soccer Field,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant
RYDALMERE,2116,-33.811244,151.03446399999999,4,6657,mid-age,49,0.0,Electronics Store,Shipping Store,Café,Home Service,Train Station,Bus Stop,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant
RYDE,2112,-33.812953,151.104942,11,26507,adult,29,0.0,Café,Supermarket,Coffee Shop,Korean Restaurant,Fried Chicken Joint,Department Store,Pizza Place,Electronics Store,Pub,Sandwich Place
SACKVILLE,2756,-33.502935,150.875982,12,294,mid-age,49,1.0,Boat or Ferry,Australian Restaurant,Yoga Studio,Film Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
SACKVILLE NORTH,2756,-33.489441,150.926902,12,316,mid-age,49,,,,,,,,,,,
SADLEIR,2168,-33.920629,150.89021200000002,13,3137,young,9,1.0,Music Venue,Film Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
SANDRINGHAM,2219,-33.998763000000004,151.139252,7,1236,mid-age,49,3.0,Café,Beach,Sports Bar,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
SANDY POINT,2172,-33.975419,150.993967,1,591,mid-age,49,,,,,,,,,,,
SANS SOUCI,2219,-33.990614,151.133074,7,10296,mid-age,49,3.0,Café,Convenience Store,Chinese Restaurant,Fast Food Restaurant,Supermarket,Pizza Place,Flea Market,Food & Drink Shop,Event Service,Event Space
SCHEYVILLE,2756,-33.610690000000005,150.88031,12,3,mid-age,49,,,,,,,,,,,
SCHOFIELDS,2762,-33.697216999999995,150.888428,0,4977,adult,29,,,,,,,,,,,
SCOTLAND ISLAND,2105,-33.641752000000004,151.29011599999998,0,582,mid-age,49,1.0,Boat or Ferry,Harbor / Marina,Playground,Pier,National Park,Field,Event Service,Event Space,Falafel Restaurant,Farm
SEAFORTH,2092,-33.797106,151.251146,8,7133,mid-age,49,3.0,Café,Indian Restaurant,Thai Restaurant,Wine Shop,Bakery,Shopping Mall,Other Nightlife,Coffee Shop,Trail,Bus Station
SEFTON,2162,-33.885501,151.011469,5,5812,adult,29,1.0,Middle Eastern Restaurant,Pharmacy,Train Station,Market,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
SEVEN HILLS,2147,-33.775477,150.934257,12,19308,adult,29,0.0,Fast Food Restaurant,Construction & Landscaping,Indian Restaurant,Gym,Supermarket,Shopping Mall,Coffee Shop,Buffet,Sports Bar,Platform
SHALVEY,2770,-33.729372999999995,150.808375,12,3462,adult,29,1.0,Gas Station,Bakery,Food Stand,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
SHANES PARK,2747,-33.711304999999996,150.783287,50,404,mid-age,49,,,,,,,,,,,
SILVERWATER,2128,-33.835928,151.04759099999998,1,4159,adult,29,3.0,Café,Electronics Store,Sandwich Place,Furniture / Home Store,Fast Food Restaurant,Field,Event Service,Event Space,Falafel Restaurant,Farm
SILVERWATER,2264,-33.101384,151.56198999999998,5,297,senior+,69,3.0,Café,Electronics Store,Sandwich Place,Furniture / Home Store,Fast Food Restaurant,Field,Event Service,Event Space,Falafel Restaurant,Farm
SINGLETONS MILL,2775,-33.463598,151.07593799999998,0,3,adult,29,,,,,,,,,,,
SMEATON GRANGE,2567,-34.039103999999995,150.756685,19,8,adult,29,1.0,Gym / Fitness Center,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
SMITHFIELD,2164,-33.853546,150.94043100000002,4,11977,adult,29,0.0,Fast Food Restaurant,Portuguese Restaurant,Sandwich Place,Italian Restaurant,Supermarket,Museum,Turkish Restaurant,Park,Middle Eastern Restaurant,Sports Bar
SOUTH HURSTVILLE,2221,-33.977595,151.10490900000002,2,5135,adult,29,0.0,Pub,Convenience Store,Electronics Store,Grocery Store,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Thai Restaurant,Fried Chicken Joint,Bakery
SOUTH MAROOTA,2756,-33.52308,150.948575,12,547,mid-age,49,,,,,,,,,,,
SOUTH PENRITH,2750,-33.767176,150.70383700000002,27,11785,adult,29,0.0,Food,Pub,Pharmacy,Fast Food Restaurant,Yoga Studio,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space
SOUTH TURRAMURRA,2074,-33.746027000000005,151.113441,14,3083,mid-age,49,3.0,Playground,Bakery,Café,Coffee Shop,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
SOUTH WENTWORTHVILLE,2145,-33.823892,150.969376,42,6212,adult,29,2.0,Park,Train Station,Health & Beauty Service,Yoga Studio,Dumpling Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
SOUTH WINDSOR,2756,-33.620168,150.804452,12,5887,adult,29,0.0,Dog Run,Sports Club,Gym Pool,Shopping Mall,Fast Food Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
SPRING FARM,2570,-34.070246999999995,150.727716,16,4295,adult,29,0.0,Supermarket,Shopping Mall,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
ST CLAIR,2330,-32.341363,151.294669,3,6,mid-age,49,0.0,Fast Food Restaurant,Convenience Store,Shopping Mall,Sandwich Place,Chinese Restaurant,Supermarket,Soccer Field,Café,Fishing Store,Film Studio
ST CLAIR,2759,-33.794362,150.79026100000002,10,19894,adult,29,0.0,Fast Food Restaurant,Convenience Store,Shopping Mall,Sandwich Place,Chinese Restaurant,Supermarket,Soccer Field,Café,Fishing Store,Film Studio
ST HELENS PARK,2560,-34.112264,150.798121,19,6609,adult,29,1.0,Rugby Pitch,Massage Studio,Baseball Field,Home Service,Bus Station,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
ST IVES,2075,-33.730601,151.158551,14,17295,mid-age,49,3.0,Café,Bakery,Park,Thai Restaurant,Grocery Store,Supermarket,Sandwich Place,Japanese Restaurant,Italian Restaurant,Fast Food Restaurant
ST IVES CHASE,2075,-33.707895,151.163446,14,3163,mid-age,49,,,,,,,,,,,
ST JOHNS PARK,2176,-33.885824,150.905403,18,6120,senior+,69,2.0,Park,Photography Studio,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
ST LEONARDS,2065,-33.823248,151.195504,22,5488,adult,29,3.0,Café,Coffee Shop,Asian Restaurant,Gym,Vietnamese Restaurant,Chinese Restaurant,Spa,Souvlaki Shop,Restaurant,Lebanese Restaurant
ST MARYS,2760,-33.76676,150.774015,11,12197,adult,29,0.0,Supermarket,Pizza Place,Pharmacy,Shopping Mall,Thai Restaurant,Bus Station,Department Store,Fast Food Restaurant,Sports Bar,Pub
ST PETERS,2044,-33.911062,151.180126,8,3143,adult,29,3.0,Café,Fast Food Restaurant,Hotel,Pub,Park,Art Gallery,Greek Restaurant,Fish & Chips Shop,Egyptian Restaurant,Electronics Store
STANHOPE GARDENS,2768,-33.711215,150.933621,3,9171,adult,29,1.0,Train Station,Bus Stop,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
STANMORE,2048,-33.897351,151.16535,2,7950,adult,29,3.0,Café,Convenience Store,Pub,Park,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
STRATHFIELD,2135,-33.873913,151.09399299999998,13,25803,adult,29,0.0,Korean Restaurant,Café,Thai Restaurant,Fried Chicken Joint,Vietnamese Restaurant,Pharmacy,Sports Bar,BBQ Joint,Bakery,Supermarket
STRATHFIELD SOUTH,2136,-33.891711,151.082992,0,3542,adult,29,1.0,Bowling Alley,Hotel,Chinese Restaurant,Asian Restaurant,Park,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
SUMMER HILL,2130,-33.891712,151.137258,3,7315,adult,29,3.0,Café,Pizza Place,Farmers Market,Coffee Shop,Playground,Train Station,Burger Joint,Liquor Store,Betting Shop,Bar
SUMMER HILL,2287,-32.478428,151.519413,17,7315,adult,29,3.0,Café,Pizza Place,Farmers Market,Coffee Shop,Playground,Train Station,Burger Joint,Liquor Store,Betting Shop,Bar
SURRY HILLS,2010,-33.888821,151.213328,30,16408,adult,29,3.0,Café,Japanese Restaurant,Pub,Coffee Shop,Lebanese Restaurant,Pakistani Restaurant,Greek Restaurant,Breakfast Spot,Bakery,Indian Restaurant
SUTHERLAND,2232,-34.031432,151.057965,18,10818,adult,29,0.0,Café,Thai Restaurant,Convenience Store,Sandwich Place,Pub,Farmers Market,Gym,Gastropub,Ramen Restaurant,Thrift / Vintage Store
SYDENHAM,2044,-33.915222,151.166104,8,1149,adult,29,0.0,Café,Soccer Field,Dog Run,Fast Food Restaurant,Gym,Grocery Store,Fish Market,Coffee Shop,Beer Store,Speakeasy
SYLVANIA,2224,-34.008075,151.105104,7,10489,senior+,69,0.0,Café,Supermarket,Bowling Alley,Bus Stop,Bakery,Breakfast Spot,Liquor Store,Farmers Market,Gym,Sandwich Place
SYLVANIA WATERS,2224,-34.019802,151.115847,7,3159,mid-age,49,3.0,Café,Bowling Green,Pier,Flower Shop,Athletics & Sports,Burger Joint,Film Studio,Falafel Restaurant,Farm,Farmers Market
TAMARAMA,2026,-33.897439,151.271839,113,1627,adult,29,3.0,Café,Italian Restaurant,Australian Restaurant,Beach,Scenic Lookout,Restaurant,Beach Bar,Bakery,Tapas Restaurant,Pub
TAREN POINT,2229,-34.012545,151.125456,15,1732,senior+,69,1.0,National Park,Nature Preserve,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
TELOPEA,2117,-33.795986,151.045106,6,5426,adult,29,1.0,Library,Grocery Store,Train Station,Gas Station,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
TEMPE,2044,-33.924777,151.160747,8,3548,adult,29,1.0,Food Truck,Gas Station,Golf Course,Train Station,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
TENNYSON,2754,-33.536388,150.736946,3,385,senior+,69,,,,,,,,,,,
TENNYSON POINT,2111,-33.831447999999995,151.117286,12,1227,mid-age,49,2.0,Gift Shop,Cafeteria,Park,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
TERREY HILLS,2084,-33.683644,151.22847,3,3034,mid-age,49,0.0,Japanese Restaurant,Flower Shop,German Restaurant,Grocery Store,Restaurant,Café,Fast Food Restaurant,Park,Italian Restaurant,Yoga Studio
THE PONDS,2769,-34.054326,150.753104,4,11715,adult,29,2.0,Lake,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
THE ROCKS,2000,-33.859251,151.208782,18,773,adult,29,1.0,Café,Hotel,Australian Restaurant,Cocktail Bar,Pub,Scenic Lookout,Brewery,Museum,Italian Restaurant,Ice Cream Shop
THE SLOPES,2754,-33.532102,150.708405,3,344,mid-age,49,,,,,,,,,,,
THORNLEIGH,2120,-33.730816,151.08122600000002,13,8461,mid-age,49,3.0,Café,Chinese Restaurant,Pizza Place,Hotel,Asian Restaurant,Post Office,Coffee Shop,Newsstand,Fast Food Restaurant,Shopping Mall
TOONGABBIE,2146,-33.788942,150.95064399999998,0,14345,adult,29,0.0,Convenience Store,Indian Restaurant,Café,Shopping Mall,Sri Lankan Restaurant,Bakery,Fishing Store,Fast Food Restaurant,Event Service,Event Space
TREGEAR,2770,-33.751082000000004,150.795678,12,3885,adult,29,,,,,,,,,,,
TURRAMURRA,2074,-33.733244,151.129809,14,11926,mid-age,49,0.0,Café,Pizza Place,Liquor Store,Bakery,Grocery Store,Convenience Store,Pharmacy,Persian Restaurant,Music Store,Seafood Restaurant
TURRELLA,2205,-33.929963,151.14064299999998,8,2522,adult,29,1.0,Platform,Train Station,Bus Station,Park,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
ULTIMO,2007,-33.878415999999994,151.197272,9,8831,adult,29,3.0,Café,Coffee Shop,Park,Pool,Museum,Japanese Restaurant,Australian Restaurant,Italian Restaurant,Pub,Theater
VARROVILLE,2566,-34.010255,150.822979,4,106,senior+,69,1.0,Soccer Field,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
VAUCLUSE,2030,-33.859047,151.278434,19,9335,mid-age,49,1.0,Park,Bakery,Lighthouse,Bay,Sushi Restaurant,Intersection,Yoga Studio,Field,Event Space,Falafel Restaurant
VILLAWOOD,2163,-33.883679,150.97646799999998,7,6026,adult,29,0.0,Fast Food Restaurant,Grocery Store,Train Station,Liquor Store,Supermarket,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant
VOYAGER POINT,2172,-33.964546999999996,150.97238000000002,1,1674,mid-age,49,1.0,Athletics & Sports,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
WAHROONGA,2076,-33.716405,151.118119,11,17367,mid-age,49,0.0,Coffee Shop,Café,Grocery Store,Convenience Store,Bakery,Thai Restaurant,Chinese Restaurant,Australian Restaurant,Train Station,Park
WAITARA,2077,-33.709540999999994,151.104136,22,5944,adult,29,0.0,Turkish Restaurant,Indian Restaurant,Fast Food Restaurant,Rental Car Location,Pub,Park,Sports Club,Sports Bar,BBQ Joint,Thai Restaurant
WAKELEY,2176,-33.873965999999996,150.90888,18,4750,adult,29,0.0,Burger Joint,Convenience Store,Grocery Store,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
WALLACIA,2745,-33.865179,150.64041799999998,13,1627,mid-age,49,1.0,Campground,Health & Beauty Service,Hotel Bar,Lake,Rest Area,Burger Joint,Electronics Store,Event Service,Event Space,Falafel Restaurant
WAREEMBA,2046,-33.856828,151.130728,14,1555,mid-age,49,3.0,Thai Restaurant,Grocery Store,Hobby Shop,Café,Liquor Store,Burger Joint,Italian Restaurant,Field,Event Service,Event Space
WARRAWEE,2074,-33.722839,151.126134,14,2982,mid-age,49,2.0,Athletics & Sports,Train Station,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
WARRIEWOOD,2102,-33.686265,151.29908,7,7497,mid-age,49,1.0,Health Food Store,Home Service,Skate Park,Trail,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
WARWICK FARM,2170,-33.913423,150.932752,22,5867,adult,29,0.0,Football Stadium,Platform,Fast Food Restaurant,Yoga Studio,Film Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WATERFALL,2233,-34.1352,150.994957,13,483,mid-age,49,0.0,Platform,Fast Food Restaurant,Trail,Train Station,Yoga Studio,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
WATERLOO,2017,-33.9004,151.206144,11,14619,adult,29,3.0,Café,Park,Bus Station,Japanese Restaurant,Gym,Grocery Store,Clothing Store,Pub,Fast Food Restaurant,Auto Workshop
WATSONS BAY,2030,-33.844806,151.282368,19,853,mid-age,49,1.0,Scenic Lookout,Beach,Café,Seafood Restaurant,Pier,Surf Spot,Beer Garden,Pub,Bus Station,Park
WATTLE GROVE,2173,-33.963316,150.936403,1,8960,adult,29,3.0,Lake,Mountain,Café,Park,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
WAVERLEY,2024,-33.897954999999996,151.252059,17,4349,adult,29,3.0,Pizza Place,Café,Souvlaki Shop,Indian Restaurant,Italian Restaurant,Park,Noodle House,Pub,Diner,Fish & Chips Shop
WAVERTON,2060,-33.839969,151.195808,11,3010,adult,29,3.0,Café,Scenic Lookout,Thai Restaurant,Wine Shop,Bowling Green,Port,Indian Restaurant,Grocery Store,Park,Farm
WEDDERBURN,2560,-34.127555,150.812698,19,627,mid-age,49,,,,,,,,,,,
WENTWORTHVILLE,2145,-33.805921999999995,150.97018300000002,42,11325,adult,29,0.0,Platform,Indian Restaurant,Thai Restaurant,Gourmet Shop,Grocery Store,Sandwich Place,Train Station,Martial Arts Dojo,Bakery,Pizza Place
WERRINGTON,2747,-33.757725,150.739982,50,4028,adult,29,1.0,Playground,Lake,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WERRINGTON COUNTY,2747,-33.747939,150.751155,50,3642,adult,29,1.0,Shopping Plaza,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
WERRINGTON DOWNS,2747,-33.740586,150.733755,50,3240,adult,29,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
WEST HOXTON,2171,-33.922272,150.839967,12,10015,mid-age,49,,,,,,,,,,,
WEST PENNANT HILLS,2125,-33.753676,151.039113,14,16367,mid-age,49,,,,,,,,,,,
WEST PYMBLE,2073,-33.760383000000004,151.126038,6,5305,mid-age,49,3.0,Italian Restaurant,Brewery,Grocery Store,Café,Shopping Mall,Liquor Store,Yoga Studio,Event Space,Falafel Restaurant,Farm
WEST RYDE,2114,-33.807712,151.08872399999998,12,13397,adult,29,0.0,Japanese Restaurant,Café,Pharmacy,Korean Restaurant,Thai Restaurant,Supermarket,Convenience Store,Pizza Place,Liquor Store,Shopping Mall
WESTLEIGH,2120,-33.711956,151.07283600000002,13,4463,mid-age,49,,,,,,,,,,,
WESTMEAD,2145,-33.805332,150.98660800000002,42,16306,adult,29,0.0,Coffee Shop,Fast Food Restaurant,Thai Restaurant,Café,Sandwich Place,Bus Stop,Yoga Studio,Event Service,Event Space,Falafel Restaurant
WETHERILL PARK,2164,-33.847512,150.913204,4,6147,adult,29,0.0,Burger Joint,Thai Restaurant,Pizza Place,Chinese Restaurant,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WHALAN,2770,-33.760165,150.809528,12,5962,adult,29,,,,,,,,,,,
WHALE BEACH,2107,-33.614274,151.330438,6,248,senior+,69,3.0,Café,Bay,Dog Run,Beach,Yoga Studio,Filipino Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
WHEELER HEIGHTS,2097,-33.732476,151.277439,13,2997,mid-age,49,1.0,Gas Station,Food & Drink Shop,Gourmet Shop,Antique Shop,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WILBERFORCE,2756,-33.558178999999996,150.847506,12,3001,mid-age,49,0.0,Gym,Indian Restaurant,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WILEY PARK,2195,-33.922464,151.068194,5,10127,adult,29,0.0,Fast Food Restaurant,Café,Middle Eastern Restaurant,Train Station,Paper / Office Supplies Store,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
WILLMOT,2770,-33.727621,150.79156899999998,12,2445,young,9,2.0,Convenience Store,Park,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WILLOUGHBY,2068,-33.801483000000005,151.1986,15,6542,mid-age,49,3.0,Café,Food & Drink Shop,Pizza Place,Liquor Store,Furniture / Home Store,Arts & Crafts Store,Yoga Studio,Field,Event Space,Falafel Restaurant
WILLOUGHBY EAST,2068,-33.802534,151.203505,15,1818,mid-age,49,3.0,Café,Food & Drink Shop,Liquor Store,Furniture / Home Store,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
WINDSOR,2756,-33.608814,150.81748100000002,12,1900,mid-age,49,3.0,Café,Park,Flea Market,Pizza Place,Sandwich Place,Grocery Store,Fried Chicken Joint,Yoga Studio,Electronics Store,Event Service
WINDSOR DOWNS,2756,-33.667695,150.803079,12,1183,mid-age,49,0.0,Pet Store,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
WINSTON HILLS,2153,-33.776053999999995,150.987795,15,11694,mid-age,49,3.0,Playground,Food & Drink Shop,Café,Shopping Mall,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
WISEMANS FERRY,2775,-33.408879,150.980048,0,229,mid-age,49,,,,,,,,,,,
WOLLI CREEK,2205,-33.930744,151.155272,8,6387,adult,29,0.0,Bakery,Café,Train Station,Intersection,Motel,Liquor Store,Supermarket,Sushi Restaurant,Taiwanese Restaurant,Dumpling Restaurant
WOLLSTONECRAFT,2065,-33.828158,151.196621,22,8323,adult,29,3.0,Café,Japanese Restaurant,Coffee Shop,South Indian Restaurant,Indian Restaurant,Thai Restaurant,Noodle House,Italian Restaurant,BBQ Joint,Office
WOODBINE,2560,-34.049892,150.818872,19,2750,adult,29,0.0,Sandwich Place,Yoga Studio,Cosmetics Shop,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
WOODCROFT,2767,-33.754985999999995,150.879666,11,6448,adult,29,0.0,Lake,Sandwich Place,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WOODPARK,2164,-33.84063,150.961859,4,1519,adult,29,3.0,Bakery,Convenience Store,Café,Bus Station,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
WOOLLAHRA,2025,-33.885795,151.24413,16,7414,adult,29,3.0,Italian Restaurant,Café,Australian Restaurant,Park,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
WOOLLOOMOOLOO,2011,-33.869283,151.220412,30,4014,adult,29,1.0,Australian Restaurant,Café,Hotel,Italian Restaurant,Pub,Chinese Restaurant,Trail,Art Gallery,Harbor / Marina,Park
WOOLOOWARE,2230,-34.048276,151.141431,25,3967,mid-age,49,1.0,Cupcake Shop,Business Service,Fruit & Vegetable Store,Beach,Train Station,Burger Joint,Yoga Studio,Filipino Restaurant,Falafel Restaurant,Farm
WOOLWICH,2110,-33.838392999999996,151.172535,10,814,senior+,69,1.0,Harbor / Marina,Park,Pier,Café,Australian Restaurant,Bar,Italian Restaurant,Yoga Studio,Event Service,Event Space
WORONORA,2232,-34.020654,151.047946,18,2193,mid-age,49,1.0,Lawyer,Gym / Fitness Center,Burger Joint,Scenic Lookout,Park,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Event Space
WORONORA HEIGHTS,2233,-34.034836,151.027656,13,2870,mid-age,49,1.0,Grocery Store,Soccer Field,Arcade,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
YAGOONA,2199,-33.907725,151.026108,11,18014,adult,29,0.0,Bakery,ATM,Gas Station,Convenience Store,Fast Food Restaurant,Burger Joint,Event Space,Falafel Restaurant,Farm,Farmers Market
YARRAMUNDI,2753,-33.627259,150.672695,5,828,mid-age,49,,,,,,,,,,,
YARRAWARRAH,2233,-34.058462,151.03278999999998,13,2726,mid-age,49,2.0,Pizza Place,Pharmacy,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
YENNORA,2161,-33.860889,150.969356,8,1616,senior+,69,0.0,Platform,Pharmacy,Train Station,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
YOWIE BAY,2228,-34.049865999999994,151.104325,6,3095,mid-age,49,0.0,Brewery,Liquor Store,Coffee Shop,Yoga Studio,Film Studio,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ZETLAND,2017,-33.909938000000004,151.206234,11,10071,adult,29,3.0,Café,Coffee Shop,Thai Restaurant,Bakery,Pet Store,Department Store,Supermarket,Electronics Store,Italian Restaurant,Japanese Restaurant
